Habitat Name,Type,Ecosystem Type,Count
sea surface,marine,northern Adriatic Sea ecosystem,1
mesophotic reef habitat at 60 m depth,marine,mesophotic reefs,1
seawater,aquatic,marine system,1
seawater,aquatic,-,1
seagrass beds,marine,seagrass ecosystem,1
Coastal Habitat,marine,Coastal Ecosystem,1
Sea surface,marine,Mediterranean Sea,1
Mediterranean salt marshes,terrestrial,salt marshes,1
shallow rocky bottoms,marine,marine,1
water samples from oyster farms and marinas,aquatic,marine ecosystems,1
fjord,aquatic,benthic ecosystems,1
coastal,marine,marine,1
soil,terrestrial,terrestrial ecosystem,2
lakes and water reservoirs,aquatic,freshwater lakes,1
gut microbiota,-,-,1
continental habitat,marine,marine ecosystem,1
island habitat,marine,marine ecosystem,1
aquatic environment (larval breeding sites),aquatic,-,1
soil habitat,terrestrial,soil ecosystem,1
host plants/fruits,terrestrial,-,1
natural habitats,-,-,2
pasture land,terrestrial,humid tropical forest,1
open areas,terrestrial,humid tropical forest,1
coastal salt marshes,terrestrial,salt marsh,1
native tussock grassland,terrestrial,natural grassland ecosystems,1
forest habitat,terrestrial,temperate deciduous forest,1
understory,terrestrial,tropical mixed forests,1
Wetland,aquatic,Aquatic ecosystems,1
paddy rice storage,terrestrial,stored-grain ecosystem,1
wheat storage,terrestrial,stored-grain ecosystem,1
macrophyte bed,aquatic,shallow lake ecosystem,1
submerged aquatic plant communities,aquatic,freshwater ecosystems,1
soft-water oligotrophic boreal isoetids,aquatic,high mountain shallow lakes,1
grassland,terrestrial,Mediterranean ecosystems,1
sand dune,terrestrial,Mediterranean ecosystems,1
riparian,aquatic,Mediterranean ecosystems,1
mixed forests,terrestrial,Mediterranean ecosystems,1
seagrass beds,marine,marine,1
microcosms,-,-,1
ash stand,terrestrial,ash forest,1
greenhouse,terrestrial,aquatic macrophytes,1
wind-sheltered bays,aquatic,shallow lake ecosystem,1
emergent habitat,aquatic,aquatic ecosystem,1
contrasting habitats,-,novel environments,1
common garden,-,-,1
water depths,aquatic,-,1
soil N availability,terrestrial,forest,1
large patches,aquatic,aquatic ecosystems,1
small patches,aquatic,aquatic ecosystems,1
middle marshes,terrestrial,middle marshes,1
macrophyte patch,aquatic,reservoir ecosystem,1
shallow temperate fluvial lakes,aquatic,aquatic ecosystem of Mantua lakes,1
Littoral areas,aquatic,Lake ecosystem,1
coastal intertidal wetlands,aquatic,coastal intertidal wetlands,1
keratinized structures and heart,aquatic/terrestrial,amphibian ecosystems,1
crop fields,terrestrial,Agricultural Maize Fields,1
field,terrestrial,urban,1
citric orchards,terrestrial,-,1
soil and rhizosphere microbiota,terrestrial,plant community,1
-,-,alpine grasslands,1
gill,aquatic,freshwater,1
artificial nests,terrestrial,artificial nest ecosystem,1
seawater,aquatic,marine,1
Lake Habitat,aquatic,Lacustrine Ecosystem,1
River Habitat,aquatic,Riverine Ecosystem,1
urban area,terrestrial,Mediterranean urban area,1
urban habitats,terrestrial,urban ecosystems,2
natural forests,terrestrial,island ecosystems,1
buildings,-,-,1
vegetation,-,-,1
Canary coasts,marine,Canary marine ecosystem,1
shadowy shrub habitats,terrestrial,natural forest ecotones,1
open seminatural grassland habitats,terrestrial,temperate extensive seminatural grassland,1
rockpool,marine,coastal environments,1
field conditions,terrestrial,agricultural,1
trees,terrestrial,arboreal ecosystems,1
Lake Trasimeno,aquatic,lake ecosystem,1
coastal areas,terrestrial,dynamic ecosystems of South Korea,1
benthic,marine,marine ecosystems,1
non-native habitats,terrestrial,-,1
palm trees,terrestrial,-,1
electric utility structures,terrestrial,-,1
sea grass bed,marine,marine ecosystem,1
PVC refugia,-,-,1
rocky reef,marine,Mediterranean Sea,1
littoral zones,aquatic,lake ecosystem,1
navigation channels,aquatic,European Waterways,1
lentic systems,aquatic,European Waterways,1
intertidal zone,marine,Mediterranean Sea,1
Coastal Sand Dunes,terrestrial,Coastal Sand Dune System,1
tallgrass prairie,terrestrial,prairie ecosystem,1
fouling fauna of artificial structures,aquatic,estuarine ecosystem,1
soil,terrestrial,Cape Floristic Region,1
habitats with intermediate disturbance level,terrestrial,wetland,1
habitats with high nutrients level,terrestrial,wetland,1
habitats with medium-high light availability,terrestrial,wetland,1
habitats with lower levels of nutrients and light availability,terrestrial,wetland,1
habitats with extreme conditions caused by prolonged submersion,aquatic,wetland,1
rocky shores,marine,marine ecosystem,1
littoral,aquatic,aquatic ecosystems,1
Native forests,terrestrial,Forests,1
Exotic forests,terrestrial,Forests,1
Suitable climates,-,-,1
coastal dunes,terrestrial,coastal dunes,2
damper northern parts,terrestrial,Canary Islands,1
coastal grasslands,terrestrial,coastal ecosystems,1
dune habitats,terrestrial,coastal dune ecosystem,1
forested areas,terrestrial,temperate forest ecosystem,1
anthropogenic habitats,terrestrial,temperate forest ecosystem,1
grasslands,terrestrial,ecological networks,1
abandoned agricultural fields,terrestrial,ecological networks,1
forest edges,terrestrial,ecological networks,1
riparian areas,aquatic,ecological networks,1
land snail habitat,terrestrial,-,1
Lake Baikal,aquatic,Lake Baikal ecosystem,1
"plains, hills, mountains",terrestrial,-,1
calcareous soils,terrestrial,metal-polluted area ecosystem,1
rivers,aquatic,Daba Mountain ecosystem,1
roads,terrestrial,Daba Mountain ecosystem,1
villages and towns,terrestrial,Daba Mountain ecosystem,1
agricultural habitat,terrestrial,agroecosystem,1
aquatic habitat,aquatic,riverine reservoir,1
analogous habitats,terrestrial,invaded communities,1
wetlands,terrestrial,wetlands,1
oak trees,terrestrial,woodland,1
potential habitat,-,-,1
estuarine habitat,aquatic,Iberian aquatic ecosystems,1
lagoon habitat,aquatic,Iberian aquatic ecosystems,1
microhabitat,-,-,2
river,aquatic,river systems,1
underwater habitat,aquatic,Great Lakes ecosystem,1
soil,terrestrial,Hemlock forest,1
ash trees,terrestrial,North America,1
"oak, beech, and spruce forests",terrestrial,forest ecosystems,1
urban forest vegetation,terrestrial,urban forest ecosystem,1
forest plant communities,terrestrial,urban forest ecosystem,1
mudflat,terrestrial,mangrove ecosystem,1
habitat edges,terrestrial,Gulf of Mexico coastal region,1
interior plots,terrestrial,Gulf of Mexico coastal region,1
forest,terrestrial,Portuguese Forest,1
wildland forest areas,terrestrial,-,1
agricultural land,terrestrial,European ecosystems,1
local vegetation,terrestrial,European ecosystems,1
oak forest,terrestrial,forest,1
landscapes and cityscapes,terrestrial,forest ecosystems,1
forest interior,terrestrial,tropical forests,1
forest edge,terrestrial,tropical forests,1
human-modified habitats,terrestrial,-,1
habitat_name,terrestrial,natural ecosystems,1
riparian forests,terrestrial,riparian forests,1
thickets,terrestrial,riparian forests,1
tall herbs,terrestrial,riparian forests,1
banks and shores of inland surface waters,terrestrial,riparian forests,1
forest,terrestrial,forest and urban ecosystems,1
urban,terrestrial,forest and urban ecosystems,1
coniferous forests,terrestrial,coniferous forests,1
Salix alba and Populus alba galleries,terrestrial,riparian ecosystem,1
nesting habitat,terrestrial,native ecosystems,1
island evergreen secondary forest over limestone,terrestrial,evergreen secondary forest,1
peninsula evergreen secondary forest,terrestrial,evergreen secondary forest,1
production forest,terrestrial,tropical forest ecosystem,1
plantation forest,terrestrial,tropical forest ecosystem,1
forests,terrestrial,New England forests,1
mixed Quercus and mixed Quercus-Pinus strobus forests,terrestrial,New England forests,1
burned area,terrestrial,forest,1
even-aged stands,terrestrial,Planted forests,1
lowland floodplain forest,terrestrial,forest,1
zonal lowland forest,terrestrial,forest,1
upper montane forest,terrestrial,forest,1
subalpine forest,terrestrial,forest,1
Clover,terrestrial,Forests,1
Soybeans,terrestrial,Forests,1
Woody Brush,terrestrial,Forests,1
Herbaceous Weeds,terrestrial,Forests,1
streamside alder forests of Alnion incanae alliance,terrestrial,temperate floodplain and swamp forests,1
alder carrs of Alnion glutinosae alliance,terrestrial,temperate floodplain and swamp forests,1
forestlands,terrestrial,forestlands,1
remnant forest,terrestrial,urban forest,1
street,terrestrial,urban forest,1
residential property,terrestrial,urban forest,1
invasive shrub thickets,terrestrial,plant community,1
-,terrestrial,forests,1
heathland,terrestrial,ecosystem services,1
pastures,terrestrial,ecosystem services,1
landscape,terrestrial,landscape,1
oak forests,terrestrial,Mediterranean forest ecosystems,1
forest stands,terrestrial,forest,1
native shrubby steppe,terrestrial,forest-steppe ecotone,1
natural pine forests,terrestrial,pine forests,1
planted pine forests,terrestrial,pine forests,1
ash habitat,terrestrial,forests,1
coniferous forest habitat,terrestrial,forest ecosystems,1
priority corridors coniferous forests,terrestrial,forest ecosystems,1
forest edges,terrestrial,forests,1
younger forests,terrestrial,forests,1
plantation of different age classes,terrestrial,Pinus radiata plantation landscape,1
forest roads,terrestrial,Pinus radiata plantation landscape,1
natural forest remnants,terrestrial,-,1
forest understories,terrestrial,mixed-hardwood forests,1
protected forest,terrestrial,forest ecosystem,1
unprotected forest,terrestrial,forest ecosystem,1
estuarine nursery habitat,aquatic,estuarine ecosystem,1
tidal habitat,aquatic,estuarine ecosystem,1
"deep, seawall habitats",aquatic,estuarine ecosystem,1
irrigation canals,aquatic,aquatic ecosystems,1
soft bottom,marine,Eastern Mediterranean marine ecosystem,1
streams in southern Portugal,aquatic,aquatic ecosystem in southern Portugal,1
Lake habitat,aquatic,Freshwater ecosystem,2
rice fields,terrestrial,agricultural,1
landscape in south-eastern Australia,terrestrial,Australian ecosystem,1
stream bank,terrestrial,riparian system,1
riparian zone,aquatic,riparian ecosystem,1
urbanized wetlands,aquatic,-,1
constructed wetlands,aquatic,constructed wetlands,1
points of entry,-,-,1
maize field,terrestrial,-,1
vegetation,terrestrial,-,1
marine environment,marine,coastal ecosystems,1
urban environments,terrestrial,forest,1
fruit trees,terrestrial,-,1
vegetables,terrestrial,-,1
ornamentals,terrestrial,-,1
row crops,terrestrial,-,1
western Black Sea lagoons,aquatic,-,1
habitat_name,-,Greater Everglades ecosystem,1
greenhouses,terrestrial,agricultural ecosystems,1
glasshouse conditions,controlled,-,1
California sage scrub,terrestrial,urban landscapes,1
non-native grassland,terrestrial,urban landscapes,1
suburban development,terrestrial,urban landscapes,1
Subterranean,terrestrial,Urban areas,1
woody debris,terrestrial,forest ecosystem,1
litter,terrestrial,forest ecosystem,1
soil layers,terrestrial,forest ecosystem,1
cherimoya,terrestrial,cherimoya ecosystem,1
Maize fields,terrestrial,Maize field ecosystem,1
apple orchards,terrestrial,-,1
ephemeral habitat,terrestrial,desert,1
natural wood or wooden packaging materials,terrestrial,agro-forestry systems,1
pistachio clusters,terrestrial,pistachio agricultural ecosystem,1
tree canopy,terrestrial,citrus agroecosystem,1
all types of habitats where Halyomorpha halys is present,-,-,1
above-ground nesting sites,terrestrial,-,1
aquatic habitat,aquatic,tropical ecosystem,1
gardens,terrestrial,terrestrial ecosystem,1
plant nurseries,terrestrial,terrestrial ecosystem,1
greenhouses,terrestrial,terrestrial ecosystem,1
nesting sites close to river courses,terrestrial,landscape ecosystem,1
habitat fragments,terrestrial,LRGV ecosystems,1
leaf blade surface,-,-,1
agricultural habitats,terrestrial,managed ecosystems,1
host trees,terrestrial,-,1
host guts,terrestrial,-,1
artificial surfaces,terrestrial,-,1
semi-natural areas,terrestrial,-,1
crops,terrestrial,agro-ecosystems,1
tidal flats,aquatic/terrestrial,coastal mudflat wetland,1
citrus,terrestrial,perennial tree crops,1
private and public grounds,terrestrial,-,1
under leaf litter and snow pack,terrestrial,temperate and subtropical growing regions,1
-,-,Mediterranean Sea,2
Spartina alterniflora marshland,aquatic,salt marsh,1
Scirpus mariqueter marshland,aquatic,salt marsh,1
Phragmites australis marshland,aquatic,salt marsh,1
bare mudflat,aquatic,salt marsh,1
intertidal Zostera noltei seagrass meadow,aquatic,benthic ecosystem,1
benthic habitats,marine,macroalgal Korean habitat,1
weeping fig hedge,terrestrial,urban ecosystem,1
leaf habitat of Ageratina adenophora,terrestrial,terrestrial,1
Coffee farms,terrestrial,Coffee-producing ecosystems,1
Feral coffee,terrestrial,Coffee-producing ecosystems,1
montane woodland,terrestrial,Hawaiian ecosystems,1
montane shrubland,terrestrial,Hawaiian ecosystems,1
mid-elevation woodland,terrestrial,Hawaiian ecosystems,1
mixed-grass prairie,terrestrial,grassland,1
agricultural landscapes,terrestrial,-,1
shifting and transition dunes,terrestrial,Mediterranean coastal dunes,1
deciduous forest,terrestrial,forest,1
built-up area,terrestrial,landscape,1
agriculture lands,terrestrial,landscape,1
fallow lands,terrestrial,-,1
commercial and residential landscapes,terrestrial,ornamental landscapes,1
zooplankton,aquatic,Lake Grand Laoucien ecosystem,1
nearshore area,aquatic,Lake Grand Laoucien ecosystem,1
natural soil,terrestrial,-,1
nutrient soil,terrestrial,-,1
nutrient sterilized soil,terrestrial,-,1
ballast compartments,aquatic,aquatic ecosystems,1
reef habitat,aquatic,Reef ecosystem,1
kidney,-,-,2
buccal,-,-,1
soil,terrestrial,belowground,1
land clearings,terrestrial,-,1
aquatic environment,aquatic,aquatic ecosystem,1
forest stands,terrestrial,forest ecosystems,1
synanthropic environment,terrestrial,peri-urban environment,1
hospital setting,terrestrial,human health system,1
pastures,terrestrial,lowland grassy woodlands,1
Wet grasslands,terrestrial,Grassland,1
low altitudes,terrestrial,various ecosystems in Greece,1
submerged plants,aquatic,aquatic plant communities,1
emergent plants,aquatic,aquatic plant communities,1
urban area habitat,terrestrial,urban ecosystem,1
non-urban area habitat,terrestrial,non-urban ecosystem,1
moderately suitable habitat,-,-,1
highly suitable habitat,-,-,1
invaded habitats,terrestrial,natural ecosystems,1
rice fields,terrestrial,rice paddy fields,1
agricultural site,terrestrial,terrestrial,1
growth chamber,terrestrial,terrestrial,1
croplands,terrestrial,agricultural systems,1
under the canopy of N. glauca shrubs,terrestrial,-,1
road,terrestrial,ecological network,1
railway,terrestrial,ecological network,1
oligotrophic habitat,terrestrial,-,1
pasture,terrestrial,pasture ecosystem,1
stands,terrestrial,invaded stands,1
urban woodlands,terrestrial,urban forest fragments,1
Sand dune area,terrestrial,Desert,1
areas with constant flooding events,aquatic,natural ecosystems,1
steppe areas with higher aridity,terrestrial,natural ecosystems,1
drought-prone environments,terrestrial,Mediterranean ecosystem,1
wet habitats,aquatic,-,1
disturbed ecosystems,-,-,1
open water,aquatic,global ecosystem,1
evergreen broadleaf forest,terrestrial,global ecosystem,1
pine plantations,terrestrial,Mediterranean ecosystem,1
cool-season and warm-season prairies,terrestrial,native prairies,1
Boreal biogeographical region,-,-,1
a range of habitats,-,-,1
sandy coastal dunes,terrestrial,coastal ecosystem,1
rocky cliffs,terrestrial,coastal ecosystem,1
coastal scrubs and garrigues,terrestrial,coastal ecosystem,1
Pine tree,terrestrial,-,1
suitable habitats,-,-,1
-,-,salt marshes,1
free-floating macrophyte habitat,aquatic,aquatic ecosystem,1
softwood plantations,terrestrial,softwood plantations,1
production forests,terrestrial,forest,1
uninvaded plant communities,terrestrial,vegetation canopy,1
invaded plant communities,terrestrial,vegetation canopy,1
-,-,Colorado River,1
coastal dunes,terrestrial,coastal dune ecosystems,1
intertidal zone,marine,coastal wetland,1
irrigated cropland,terrestrial,-,1
rainfed cropland,terrestrial,-,1
Wetland,aquatic,Wetland,1
forest cover,terrestrial,-,1
riparian forests,terrestrial,alluvial and willow forests,1
alluvial and willow forests,terrestrial,-,1
Pinus pinaster stands,terrestrial,forest,1
monospecific stands,terrestrial,forest,1
wetland,aquatic,wetlands ecosystem,1
forest,terrestrial,Atlantic Forest,1
canopy,terrestrial,Hawaiian Rainforest,1
coastal dune ecosystems,terrestrial,dune ecosystems,1
wooded savanna,terrestrial,tropical savanna,1
Tidal wetland,aquatic,Wetland ecosystem,1
secondary successional fields,terrestrial,native ecosystems,1
subcanopy,terrestrial,forest,1
Mediterranean coastal ecosystems,terrestrial,Mediterranean dune ecosystem,1
marshes,aquatic,wetlands,1
tree habitats,terrestrial,urban,1
Arid habitat,terrestrial,arid lands,1
mudflats,aquatic,coastal ecosystem,1
roadside,terrestrial,roadside ecosystem,1
soil,terrestrial,wetland,1
forest soil habitat,terrestrial,forest ecosystem,1
island habitats,terrestrial,island ecosystems,2
willow forest,terrestrial,urban riparian forests,1
poplar forest,terrestrial,urban riparian forests,1
rangelands,terrestrial,rangelands,1
corn fields,terrestrial,agricultural environment,1
peat soil,terrestrial,peatlands,1
mineral soils,terrestrial,-,2
front and tail of ponds,aquatic,riparian forest,1
cut not-flooded forest areas,terrestrial,riparian forest,1
Nile islands,aquatic,River Nile ecosystem,1
coastal,-,-,1
mountain,-,-,1
riparian,-,-,1
salt marsh,aquatic,wetland marsh,1
Marine Fish Habitat,marine,Marine,1
coastal dune habitats,terrestrial,coastal dune ecosystem,1
different habitats,-,local ecological environment,1
mountain meadow,terrestrial,mountain ecosystem,1
pristine native habitat,terrestrial,native habitats,1
anthropogenically disturbed native habitat,terrestrial,native habitats,1
non-native habitat,terrestrial,non-native habitats,1
open fields,terrestrial,semitarid regions,1
hillocks,terrestrial,semitarid regions,1
abandoned areas,terrestrial,semitarid regions,1
-,-,watersheds,1
wetland,aquatic,Everglades ecosystem,1
multi-polluted soil,terrestrial,semitarid regions,1
floodplain,aquatic,wetland,1
swamp forest,aquatic,wetland,1
plantation understory,terrestrial,early-successional hardwood forest,1
submerged plant habitat,aquatic,wetland ecosystems,1
rock pool habitat,marine,marine ecosystem,1
private residence,-,-,1
temperate grassland,terrestrial,wetland ecosystem,1
brain and muscles,-,-,1
gut,-,-,1
microhabitats,terrestrial,-,1
tropical crops,terrestrial,agricultural landscape,1
apiary,terrestrial,apiary ecosystem,1
river,aquatic,Iberian river ecosystem,1
soft-bottom macrozoobenthic habitat,aquatic,lagoon ecosystem,1
riparian vegetation,terrestrial,riparian zones,1
freshwater,aquatic,Mediterranean Europe,1
wetlands,aquatic,freshwater,1
Posidonia oceanica meadows,marine,Mediterranean ecosystem,1
Phyllophora crispa turf,marine,Mediterranean ecosystem,1
coralligenous reefs,marine,Mediterranean ecosystem,1
tidal flat,aquatic,tidal marsh,1
Rivers,aquatic,-,1
subtidal reefs,marine,Northwest Mediterranean Sea,1
aquatic,aquatic,Lower Danube Region,1
river habitat,aquatic,river ecosystem,1
springhead,aquatic,cold spring ecosystem,1
springbrook,aquatic,cold spring ecosystem,1
brackish water,aquatic,inland water ecosystems,1
Curtis Prairie,terrestrial,wetlands,1
zoobenthic,marine,Mediterranean,1
Mediterranean Sea habitat,marine,marine ecosystem,2
Aegean Sea habitat,marine,marine ecosystem,1
Aegean Sea,marine,Mediterranean Sea,1
fish ponds,aquatic,Po River valley,1
main river channel and adjacent water bodies,aquatic,Po River valley,1
benthic habitats,marine,eastern Mediterranean,1
shallow-water substrates,marine,eastern Mediterranean,1
artificial and natural hard substrates,marine,eastern Mediterranean,1
shallow protected soft-bottom estuaries and bays,aquatic,northern European waters,1
south Aegean Sea,marine,Mediterranean Sea,1
river,aquatic,riverine,1
-,marine,Aegean Sea,1
0+ fish communities,aquatic,riverine ecosystem,1
seaweed habitat,marine,marine,1
coastal habitats,marine,Eastern Mediterranean ecosystem,1
estuarine habitat,aquatic,Black Sea ecosystem,1
halocline zone,marine,Baltic Sea ecosystem,1
soft bottom,aquatic,benthic assemblages,1
littoral zone,aquatic,littoral zone ecosystem,1
subtidal rocky bottom habitats,marine,marine,1
coastal waters,marine,Mediterranean Sea,2
bivalve aquaculture habitats,aquatic,aquaculture ecosystem,1
March Water,aquatic,marine,1
mussel aquaculture lines and gear,aquatic,aquatic ecosystem,1
sea,marine,Mediterranean marine ecosystem,1
shallow streams,aquatic,-,1
shallow rocky bottoms,marine,Mediterranean Sea,1
shallow sandy bottoms,marine,Mediterranean Sea,1
water,aquatic,marine ecosystem,1
aquatic macrophyte habitat,aquatic,lake ecosystem,1
artificial habitats,marine,-,1
natural and semi-natural shores,marine,sheltered shore ecosystem,1
submarine springs,aquatic,Mediterranean,1
bays and ports,aquatic,Mediterranean,1
tidal bay,aquatic,tidal bay ecosystem,1
bays,aquatic,shellfish aquaculture regions,1
retail food markets,terrestrial,continental United States,1
Great Lakes' habitats,aquatic,Laurentian Great Lakes,1
freshwater,aquatic,North American freshwater systems,1
Las Vegas Bay,aquatic,Lake Mead Ecosystem,1
Overton Arm,aquatic,Lake Mead Ecosystem,1
Lake Mead habitats,aquatic,lake ecosystem,1
Lake,aquatic,aquatic ecosystem,1
tidal freshwater reaches,aquatic,tidal freshwater ecosystem,1
harbour,aquatic,coastal ecosystems,1
2-3 m depth zone,marine,marine ecosystem,1
5 and 12 m depth zone,marine,marine ecosystem,1
Mussel socks,aquatic,Mussel aquaculture,1
cultured mussel habitat,marine,marine ecosystem,1
subtropical estuary,aquatic,Babitonga Bay,1
Crater lakes,aquatic,Volcanic lake ecosystem,1
water column habitat,aquatic,aquatic ecosystem,1
macrophyte-rich habitats,aquatic,riverine ecosystem,1
Alaskan streams,aquatic,Alaskan waters ecosystem,1
freshwater,aquatic,lakes and ponds,1
intertidal zone,aquatic,estuarine,1
intertidal zone of rocky shores,aquatic,estuarine,1
sublittoral soft-bottom,aquatic,bay,1
likely habitats,-,-,1
power plant cooling reservoir,aquatic,aquatic environments,1
artificial habitats,aquatic,Atlantic Ocean Ecosystem,1
sampling sites of oyster populations,aquatic,Scandinavian coastal areas,1
surface water,marine,coastal waters,1
deep part of the fjord,marine,coastal waters,1
canals,aquatic,-,1
Mussel socks,aquatic,Aquaculture ecosystem,1
fresh waters,aquatic,New Zealand lakes,1
marine waters,marine,-,1
brackish waters,aquatic,-,2
freshwaters,aquatic,freshwater,1
coasts,aquatic,-,1
river mouth,aquatic,freshwater,1
rocky shore,marine,marine,1
River Rhine,aquatic,freshwater ecosystems,1
low-salinity environment,aquatic,-,1
Tokyo Bay,marine,-,1
Eastern Mediterranean habitats,marine,Mediterranean Sea ecosystem,1
spawning and nursery areas,aquatic,North Sea ecosystem,1
natural biotope,aquatic,aquatic ecosystem,1
Eelgrass habitat,aquatic,Aquatic ecosystem,1
Artificial substrate,aquatic,Aquatic ecosystem,1
harbours,marine,Northern European waters,1
intertidal zone,marine,rocky shores,1
southwestern Atlantic coastline,marine,coastal Patagonian ecosystems,1
low-salinity environment,aquatic,Baltic Sea ecosystem,1
fouling communities,aquatic,fouling communities,1
cold spring waters,aquatic,-,1
freshwaters,aquatic,-,2
aquatic breeding sites,aquatic,aquatic ecosystem,1
low salinity areas,aquatic,Baltic Sea Ecosystem,1
sediment,aquatic,Baltic Sea Ecosystem,1
rivers and canals,aquatic,inland waterways,1
river catchments,aquatic,riverine,1
inland canals,aquatic,freshwater ecosystems,1
chelae and walking legs,aquatic,freshwater ecosystems,1
carapace and abdomen,aquatic,freshwater ecosystems,1
structured habitat,aquatic,northern Baltic Sea ecosystem,1
bare mud,aquatic,northern Baltic Sea ecosystem,1
aquatic macrophytes,aquatic,aquatic ecosystem,1
ephemeral ponds,aquatic,-,1
zooplankton samples,aquatic,marine,1
littoral zone,aquatic,littoral zone,1
artificial structures,aquatic,littoral zone,1
natural shelters,aquatic,littoral zone,1
water bodies in Ireland,aquatic,Irish aquatic ecosystem,1
shallow low-velocity habitat,aquatic,aquatic ecosystem,1
mesohabitat,aquatic,aquatic ecosystem,1
fresh and slightly brackish surface waters,aquatic,freshwater,1
North Sea and adjacent estuaries,marine,marine environment,1
Marine habitat of the Mediterranean Sea,marine,Mediterranean marine ecosystem,1
Marine habitat of the Red Sea,marine,Red Sea marine ecosystem,1
freshwater habitat,aquatic,freshwater lakes,1
coastal habitat,aquatic,coastal lakes,1
riverine habitat,aquatic,Mediterranean river ecosystem,1
running waters,aquatic,aquatic ecosystem,1
EUNIS habitat types,aquatic,aquatic ecosystem,1
River Danube,aquatic,aquatic ecosystem,1
estuarine,aquatic,coastal ecosystem,1
Artificial substrate,aquatic,Estuarine ecosystem,1
Natural substrate,aquatic,Estuarine ecosystem,1
offshore natural and artificial hard substrates,marine,-,1
intertidal zone,marine,offshore natural and artificial hard substrates,1
subtidal,marine,offshore natural and artificial hard substrates,1
pelagic zone,marine,Wadden Sea,1
sheltered site,aquatic,North Sea,1
site exposed to strong winds and waves,aquatic,North Sea,1
constructed lakes and ponds,aquatic,-,1
natural freshwater sites,aquatic,-,1
Rivers,aquatic,Freshwater ecosystem,1
reed belts,aquatic,Baltic Sea ecosystem,1
algal zones,aquatic,Baltic Sea ecosystem,1
sheltered rocky bottom habitats,aquatic,Baltic Sea ecosystem,1
Burrowing shrimp habitat,aquatic,Estuary ecosystem,1
cold-water habitat,aquatic,reservoir ecosystem,1
freshwater,aquatic,shallow aquatic ecosystems,1
water bodies in the Netherlands,aquatic,aquatic ecosystem in the Netherlands,1
sediment,aquatic,water bodies in the Netherlands,1
boreal and subarctic habitats,aquatic,boreal lakes ecosystem,1
Woody marine debris,marine,Marine ecosystem,1
woody marine debris,marine,marine ecosystem,1
freshwater,aquatic,freshwater and brackish ecosystem,1
brackish,aquatic,freshwater and brackish ecosystem,1
littoral,aquatic,fluvial lake ecosystem,1
mid-shore,aquatic,fluvial lake ecosystem,1
coastal lagoons and estuaries,aquatic,Baltic coastal ecosystem,1
benthic,marine,Fjord Ecosystem,1
lentic freshwater habitat,aquatic,lentic freshwater ecosystem,1
seawater,aquatic,European waters,1
foraging environment,-,-,1
marine habitat,marine,marine environment,1
benthic,aquatic,freshwater ecosystems,1
seas,aquatic,marine ecosystem,1
coasts,aquatic,marine ecosystem,1
estuaries,aquatic,marine ecosystem,1
coastline,marine,Coastal Patagonia,1
fouling communities,marine,coastal ecosystem,1
soft substrata,aquatic,Venice Lagoon Ecosystem,1
docks,aquatic,Venice Lagoon Ecosystem,1
Kiel Fjord,marine,Baltic Sea ecosystem,1
temporary brackish ponds,aquatic,wetlands,1
temporary fresh ponds,aquatic,wetlands,1
inland freshwater habitat,aquatic,freshwater ecosystem,1
subtropical reservoir,aquatic,-,1
urban lakes,aquatic,freshwater,1
SAR habitats,aquatic,freshwater,1
innermost part of the Ría de Vigo,aquatic,Ría de Vigo,1
intertidal and subtidal zones,aquatic,sedimentary coastal ecosystem,1
littoral zone,aquatic,aquatic ecosystems,1
Dee Estuary,aquatic,European waters,1
marinas and harbors,marine,-,1
benthic communities,marine,tropical rocky shores,1
earthen pond,aquatic,freshwater,1
concrete tank,aquatic,freshwater,1
near-natural conditions,aquatic,freshwater,1
sandy bottoms,marine,Mediterranean Sea,1
muddy sediments,aquatic,transitional waters,1
harbors,aquatic,-,1
Poyang Lake,aquatic,freshwater ecosystem,1
Reservoir,aquatic,Aquatic Ecosystem,1
small shallow brackish-water reservoirs,aquatic,Danube and Dniester basins,1
freshwater Danube and Dniester deltaic zones,aquatic,Danube and Dniester basins,1
fresh and brackish waters,aquatic,invaded ecosystems,1
lentic habitats,aquatic,open water ecosystems,1
rivers,aquatic,open water ecosystems,1
regulated channels,aquatic,open water ecosystems,1
creeks,aquatic,open water ecosystems,1
artificial biotopes,aquatic,open water ecosystems,1
riverine,aquatic,-,1
Rocky shore,marine,Rocky shore ecosystem,1
intertidal rocky shore,marine,marine,1
coastal waters,marine,-,2
artificial lake,aquatic,-,1
marine habitat,marine,-,1
aquatic,aquatic,Fjord ecosystem,1
riverbed,aquatic,Futaleufú River,1
Marennes-Oléron Bay,aquatic,coastal waters,1
cooling water discharge area,aquatic,artificially heated area,1
marine waters,marine,Mediterranean Sea,2
marine wood-boring habitat,marine,Mediterranean,1
marinas and aquaculture equipment,marine,marine,1
coastal area,marine,coastal,1
relatively undisturbed vegetation,terrestrial,Cerrado,1
shallow water habitat,aquatic,-,1
ship hulls,aquatic,Indonesian archipelago,1
sub-lacustrine,aquatic,freshwater,1
shore,aquatic,-,1
sea grass meadow,aquatic,-,1
estuaries and coastal waters,marine,marine ecosystem,1
Iskenderun Bay,marine,Mediterranean Sea,1
Mediterranean Sea,marine,central Mediterranean ichthyofauna,1
Maltese coastal waters,marine,-,1
riparian wetlands,aquatic,North American aquatic ecosystem,1
